Unnamed: 0,Year,Kilometers_Driven,Mileage,Engine,Power,Seats,Price,col,Location_Ahmedabad,Location_Bangalore,Location_Chennai,Location_Coimbatore,Location_Delhi,Location_Hyderabad,Location_Jaipur,Location_Kochi,Location_Kolkata,Location_Mumbai,Location_Pune,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Owner_Type_First,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third
0,2010,72000,266.0,998.0,5816.0,5.0,1.75,5816.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
1,2015,41000,1967.0,1582.0,1262.0,5.0,12.5,1262.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
2,2011,46000,182.0,1199.0,887.0,5.0,4.5,887.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
3,2012,87000,2077.0,1248.0,8876.0,7.0,6.0,8876.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
4,2013,40670,152.0,1968.0,1408.0,5.0,17.74,1408.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
5,2012,75000,211.0,814.0,552.0,5.0,2.35,552.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
6,2013,86999,2308.0,1461.0,631.0,5.0,3.5,631.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
7,2016,36000,1136.0,2755.0,1715.0,8.0,17.5,1715.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
8,2013,64430,2054.0,1598.0,1036.0,5.0,5.2,1036.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
9,2012,65932,223.0,1248.0,74.0,5.0,1.95,74.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
10,2018,25692,2156.0,1462.0,10325.0,5.0,9.95,10325.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
11,2012,60000,168.0,1497.0,1163.0,5.0,4.49,1163.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
12,2015,64424,252.0,1248.0,74.0,5.0,5.6,74.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
13,2014,72000,127.0,2179.0,1877.0,5.0,27.0,1877.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
14,2012,85000,0.0,2179.0,115.0,5.0,17.5,115.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
15,2014,110000,135.0,2477.0,17556.0,7.0,15.0,17556.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
16,2016,58950,258.0,1498.0,986.0,5.0,5.4,986.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
17,2017,25000,284.0,1248.0,74.0,5.0,5.99,74.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
18,2014,77469,2045.0,1461.0,838.0,5.0,6.34,838.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
19,2014,78500,1484.0,2143.0,16762.0,5.0,28.0,16762.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
20,2014,32982,2269.0,1995.0,190.0,5.0,18.55,190.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
